symbol,name,exchange,sector,industry,market_cap
A,Agilent Technologies Inc. Common Stock,NYSE,Industrials,Biotechnology: Laboratory Analytical Instruments,38184798829.00
AA,Alcoa Corporation Common Stock,NYSE,Industrials,Aluminum,12946437268.00
AACB,Artius II Acquisition Inc. Class A Ordinary Shares,NASDAQ,,,0.00
AACBR,Artius II Acquisition Inc. Rights,NASDAQ,,,0.00
AACBU,Artius II Acquisition Inc. Units,NASDAQ,Finance,Blank Checks,0.00
AACG,ATA Creativity Global American Depositary Shares,NASDAQ,Real Estate,Other Consumer Services,43025694.00
AACI,Armada Acquisition Corp. III Class A Ordinary Share,NASDAQ,Finance,Blank Checks,0.00
AACIU,Armada Acquisition Corp. III Units,NASDAQ,Finance,Blank Checks,0.00
AACIW,Armada Acquisition Corp. III Warrant,NASDAQ,Finance,Blank Checks,0.00
AACO,Abony Acquisition Corp. I Class A Ordinary Share,NASDAQ,,,0.00
AACOU,Abony Acquisition Corp. I Units,NASDAQ,,,0.00
AACOW,Abony Acquisition Corp. I Warrants,NASDAQ,,,0.00
AACP,Apogee Acquisition Corp Class A Ordinary Shares,NASDAQ,Finance,Blank Checks,0.00
AACPR,Apogee Acquisition Corp Rights,NASDAQ,Finance,Blank Checks,0.00
AACPU,Apogee Acquisition Corp Units,NASDAQ,Finance,Blank Checks,0.00
AACPW,Apogee Acquisition Corp Warrant,NASDAQ,Finance,Blank Checks,0.00
AADX,Applied Aerospace & Defense Inc. Common Stock,NYSE,Industrials,Military/Government/Technical,3283397851.00
AAL,American Airlines Group Inc. Common Stock,NASDAQ,Consumer Discretionary,Air Freight/Delivery Services,10363905097.00
AAME,Atlantic American Corporation Common Stock,NASDAQ,Finance,Life Insurance,33247482.00
AAMI,Acadian Asset Management Inc. Common Stock,NYSE,Finance,Investment Managers,2872409013.00
AAOI,Applied Optoelectronics Inc. Common Stock,NASDAQ,Technology,Semiconductors,10066455120.00
AAON,AAON Inc. Common Stock,NASDAQ,Industrials,Industrial Machinery/Components,9250289410.00
AAP,Advance Auto Parts Inc.,NYSE,Consumer Discretionary,Auto & Home Supply Stores,3342841415.00
AAPG,Ascentage Pharma Group International American Depository Shares,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,1795679744.00
AAPL,Apple Inc. Common Stock,NASDAQ,Technology,Computer Manufacturing,4624460910160.00
AARD,Aardvark Therapeutics Inc. Common Stock,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,136994829.00
AAT,American Assets Trust Inc. Common Stock,NYSE,Real Estate,Real Estate Investment Trusts,1545823768.00
AAUC,Allied Gold Corporation Common Shares,NYSE,,,2845340000.00
AB,AllianceBernstein Holding L.P.  Units,NYSE,Finance,Investment Managers,3514786988.00
ABAT,American Battery Technology Company Common Stock,NASDAQ,Basic Materials,Metal Mining,356041607.00
ABBV,AbbVie Inc. Common Stock,NYSE,Health Care,Biotechnology: Pharmaceutical Preparations,432475546724.00
ABCB,Ameris Bancorp Common Stock,NYSE,Finance,Major Banks,6152207896.00
ABCL,AbCellera Biologics Inc. Common Shares,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,1986045686.00
ABEO,Abeona Therapeutics Inc. Common Stock,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,402385717.00
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),NYSE,Consumer Staples,Beverages (Production/Distribution),48703463756.00
ABG,Asbury Automotive Group Inc Common Stock,NYSE,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,3961894452.00
ABLV,Able View Global Inc. Class B Ordinary Shares,NASDAQ,Consumer Discretionary,Other Consumer Services,52353317.00
ABLVW,Able View Global Inc. Warrant,NASDAQ,Consumer Discretionary,Other Consumer Services,928531.00
ABM,ABM Industries Incorporated Common Stock,NYSE,Consumer Discretionary,Diversified Commercial Services,2653715812.00
ABNB,Airbnb Inc. Class A Common Stock,NASDAQ,Consumer Discretionary,Diversified Commercial Services,88320379416.00
ABOS,Acumen Pharmaceuticals Inc. Common Stock,NASDAQ,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),182735777.00
ABR,Arbor Realty Trust Common Stock,NYSE,Real Estate,Real Estate Investment Trusts,961806015.00
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,NYSE,,,
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,NYSE,,,
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,NYSE,,,
ABSI,Absci Corporation Common Stock,NASDAQ,Health Care,Biotechnology: Commercial Physical & Biological Resarch,1594908723.00
ABT,Abbott Laboratories Common Stock,NYSE,Health Care,Biotechnology: Pharmaceutical Preparations,154951633684.00
ABTC,American Bitcoin Corp. Class A Common Stock,NASDAQ,Technology,EDP Services,382684754.00
ABTS,Abits Group Inc Ordinary Shares,NASDAQ,Technology,Computer Software: Programming Data Processing,3524122.00
ABUS,Arbutus Biopharma Corporation Common Stock,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,910648843.00
ABVC,ABVC BioPharma Inc. Common Stock,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,34840592.00
ABVX,Abivax SA American Depositary Shares,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,11615013717.00
ABX,Abacus Global Management Inc. Class A Common Stock,NYSE,Finance,Investment Managers,1068575168.00
ABXL,Abacus Global Management Inc. 9.875% Fixed Rate Senior Notes due 2028,NYSE,Finance,Investment Managers,1920025180.00
ACA,Arcosa Inc. Common Stock,NYSE,Industrials,Metal Fabrications,7122900489.00
ACAA,Averin Capital Acquisition Corp. Class A Ordinary Shares,NASDAQ,Finance,Blank Checks,0.00
ACAAU,Averin Capital Acquisition Corp. Units,NASDAQ,Finance,Blank Checks,0.00
ACAAW,Averin Capital Acquisition Corp. Warrants,NASDAQ,Finance,Blank Checks,0.00
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,4364802326.00
ACB,Aurora Cannabis Inc. Common Shares,NASDAQ,Health Care,Medicinal Chemicals and Botanical Products,164805418.00
ACCL,Acco Group Holdings Limited Class A Ordinary Shares,NASDAQ,Consumer Discretionary,Professional Services,26132000.00
ACCO,Acco Brands Corporation Common Stock,NYSE,Consumer Discretionary,Publishing,359805397.00
ACCS,ACCESS Newswire Inc. Common Stock,AMEX,Consumer Discretionary,Publishing,26864436.00
ACDC,ProFrac Holding Corp. Class A Common Stock,NASDAQ,Energy,Oilfield Services/Equipment,966116821.00
ACEL,Accel Entertainment Inc.,NYSE,Consumer Discretionary,Services-Misc. Amusement & Recreation,1017411250.00
ACET,Adicet Bio Inc. Common Stock,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,82544924.00
ACFN,Acorn Energy Inc. Common Stock,NASDAQ,Consumer Discretionary,Military/Government/Technical,45274057.00
ACGC,ACP Holdings Acquisition Corp. Class A Ordinary Shares,NASDAQ,Finance,Blank Checks,0.00
ACGCU,ACP Holdings Acquisition Corp. Units,NASDAQ,Finance,Blank Checks,0.00
ACGCW,ACP Holdings Acquisition Corp. Warrants,NASDAQ,Finance,Blank Checks,0.00
ACGL,Arch Capital Group Ltd. Common Stock,NASDAQ,Finance,Property-Casualty Insurers,35473524870.00
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,NASDAQ,Finance,Property-Casualty Insurers,5639147950.00
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,NASDAQ,Finance,Property-Casualty Insurers,6743219048.00
ACH,Accendra Health Inc. Common Stock,NYSE,Health Care,Medical Specialities,276467164.00
ACHC,Acadia Healthcare Company Inc. Common Stock,NASDAQ,Health Care,Medical Specialities,2906158053.00
ACHR,Archer Aviation Inc. Class A Common Stock,NYSE,Industrials,Aerospace,3684050344.00
ACHV,Achieve Life Sciences Inc. Common Shares,NASDAQ,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,647778650.00
ACI,Albertsons Companies Inc. Class A Common Stock,NYSE,Consumer Staples,Food Chains,7225154042.00
ACIC,American Coastal Insurance Corporation Common Stock,NASDAQ,Finance,Property-Casualty Insurers,524865629.00
ACIU,AC Immune SA Common Stock,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,245274311.00
ACIW,ACI Worldwide Inc. Common Stock,NASDAQ,Technology,Computer Software: Prepackaged Software,5602569123.00
ACLS,Axcelis Technologies Inc. Common Stock,NASDAQ,Technology,Industrial Machinery/Components,4371589509.00
ACM,AECOM Common Stock,NYSE,Consumer Discretionary,Military/Government/Technical,8810246166.00
ACMR,ACM Research Inc. Class A Common Stock,NASDAQ,Technology,Industrial Machinery/Components,6549308716.00
ACN,Accenture plc Class A Ordinary Shares (Ireland),NYSE,Consumer Discretionary,Business Services,89820173858.00
ACNB,ACNB Corporation Common Stock,NASDAQ,Finance,Major Banks,608944184.00
ACNT,Ascent Industries Co. Common Stock,NASDAQ,Industrials,Steel/Iron Ore,135663607.00
ACOG,Alpha Cognition Inc. Common Stock,NASDAQ,,,175281537.00
ACON,Aclarion Inc. Common Stock,NASDAQ,Health Care,Medical Specialities,6574208.00
ACONW,Aclarion Inc. Warrant,NASDAQ,Health Care,Medical Specialities,55401.00
ACP,abrdn Income Credit Strategies Fund Common Shares,NYSE,Finance,Investment Managers,0.00
ACP^A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,NYSE,,,
ACR,ACRES Commercial Realty Corp. Common Stock,NYSE,Real Estate,Real Estate Investment Trusts,124865579.00
ACRE,Ares Commercial Real Estate Corporation Common Stock,NYSE,Real Estate,Real Estate Investment Trusts,247445764.00
ACRS,Aclaris Therapeutics Inc. Common Stock,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,758373782.00
ACRV,Acrivon Therapeutics Inc. Common Stock,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,91167683.00
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock,NYSE,,,
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,NYSE,,,
ACT,Enact Holdings Inc. Common Stock,NASDAQ,Finance,Specialty Insurers,6372774009.00
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,NASDAQ,Miscellaneous,Multi-Sector Companies,422094507.00
ACTU,Actuate Therapeutics Inc. Common stock,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,41391724.00
ACU,Acme United Corporation. Common Stock,AMEX,Consumer Discretionary,Industrial Machinery/Components,178096180.00
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,NYSE,Finance,Finance/Investors Services,287571974.00
